Date,Open,High,Low,Close,Adj Close,Volume
2006-04-03,9.095715,9.160000,8.944285,8.950000,7.787404,203947800
2006-04-04,8.871428,8.888572,8.721429,8.738571,7.603441,232981000
2006-04-05,9.244286,9.601429,9.164286,9.601429,8.354213,558352200
2006-04-06,9.757143,10.292857,9.742857,10.177143,8.855142,665942200
2006-04-07,10.132857,10.172857,9.781428,9.970000,8.674904,386309700
2006-04-10,10.041429,10.132857,9.778571,9.810000,8.535692,225878800
2006-04-11,9.855714,9.900000,9.581429,9.712857,8.451165,234829000
2006-04-12,9.715714,9.738571,9.471429,9.530000,8.292062,184973600
2006-04-13,9.477143,9.634286,9.401428,9.495714,8.262229,183669500
2006-04-17,9.501429,9.548572,9.192857,9.258572,8.055893,180484500
2006-04-18,9.291429,9.495714,9.255714,9.460000,8.231153,198711100
2006-04-19,9.545714,9.571428,9.352858,9.378572,8.160304,271508300
2006-04-20,9.930000,10.000000,9.457143,9.661428,8.406418,416745700
2006-04-21,9.741428,9.805715,9.495714,9.577143,8.333083,197246700
2006-04-24,9.550000,9.560000,9.357142,9.392858,8.172735,176757000
2006-04-25,9.422857,9.512857,9.365714,9.452857,8.224937,132265700
2006-04-26,9.521428,9.754286,9.485714,9.735714,8.471053,177721600
2006-04-27,9.675714,9.980000,9.621428,9.908571,8.621454,211486800
2006-04-28,9.911428,10.185715,9.885715,10.055715,8.749485,190009400
2006-05-01,10.110000,10.220000,9.880000,9.942857,8.651289,187595100
2006-05-02,10.021428,10.282857,10.015715,10.231428,8.902374,192915800
2006-05-03,10.261429,10.278571,10.025714,10.162857,8.842710,171747800
2006-05-04,10.174286,10.412857,10.065714,10.161428,8.841469,215105100
2006-05-05,10.265715,10.321428,10.164286,10.270000,8.935935,140977900
2006-05-08,10.427143,10.542857,10.245714,10.270000,8.935935,148712900
2006-05-09,10.260000,10.365714,10.088572,10.147142,8.829040,132916700
2006-05-10,10.184286,10.190000,9.944285,10.085714,8.775588,114972200
2006-05-11,10.112857,10.120000,9.650000,9.735714,8.471053,203172200
2006-05-12,9.692857,9.812857,9.551429,9.671429,8.415120,160443500
2006-05-15,9.624286,9.768572,9.588572,9.684286,8.426306,132294400
2006-05-16,9.728572,9.750000,9.250000,9.282857,8.077022,234185000
2006-05-17,9.244286,9.385715,9.152857,9.322857,8.111825,188548500
2006-05-18,9.382857,9.465714,9.017143,9.025714,7.853279,164610600
2006-05-19,9.037143,9.268572,8.974286,9.215714,8.018602,246466500
2006-05-22,9.124286,9.141429,8.967143,9.054286,7.878142,179743900
2006-05-23,9.265715,9.312857,9.000000,9.021428,7.849553,173603500
2006-05-24,8.998571,9.092857,8.794286,9.048572,7.873172,229007800
2006-05-25,9.180000,9.207143,9.041429,9.190000,7.996226,115843000
2006-05-26,9.187143,9.222857,9.020000,9.078571,7.899275,108237500
2006-05-30,9.041429,9.042857,8.745714,8.745714,7.609657,140850500
2006-05-31,8.822857,8.827143,8.384286,8.538571,7.429418,320244400
2006-06-01,8.550000,8.897142,8.502857,8.881429,7.727742,235627000
2006-06-02,8.998571,9.014286,8.697143,8.808572,7.664347,171446800
2006-06-05,8.735714,8.735714,8.567142,8.571428,7.458006,151446400
2006-06-06,8.602858,8.661428,8.415714,8.531428,7.423203,181509300
2006-06-07,8.585714,8.628572,8.335714,8.365714,7.279015,187626600
2006-06-08,8.348572,8.704286,8.164286,8.680000,7.552475,349370700
2006-06-09,8.740000,8.794286,8.442857,8.462857,7.363541,193959500
2006-06-12,8.485714,8.532857,8.137143,8.142858,7.085111,179446400
2006-06-13,8.230000,8.442857,8.194285,8.332857,7.250426,270160800
2006-06-14,8.325714,8.397142,8.098572,8.230000,7.160930,219534000
2006-06-15,8.185715,8.534286,8.107142,8.482857,7.380939,297595900
2006-06-16,8.422857,8.455714,8.217143,8.222857,7.154716,209525400
2006-06-19,8.261429,8.311429,8.142858,8.171429,7.109967,176143800
2006-06-20,8.230000,8.335714,8.184286,8.210000,7.143529,168243600
2006-06-21,8.248571,8.387143,8.185715,8.265715,7.192006,215824000
2006-06-22,8.314285,8.535714,8.295714,8.511429,7.405802,241408300
2006-06-23,8.531428,8.595715,8.390000,8.404285,7.312576,165050900
2006-06-26,8.452857,8.457143,8.338572,8.427143,7.332465,116634000
2006-06-27,8.441428,8.460000,8.200000,8.204286,7.138557,137652900
2006-06-28,8.184286,8.185715,7.915714,8.002857,6.963293,212676100
2006-06-29,8.108571,8.441428,8.055715,8.424286,7.329978,218349600
2006-06-30,8.227143,8.250000,8.071428,8.181429,7.118670,184923900
2006-07-03,8.217143,8.311429,8.191428,8.278571,7.203193,48692700
2006-07-05,8.164286,8.228572,8.080000,8.142858,7.085111,129560200
2006-07-06,8.155714,8.200000,7.944286,7.967143,6.932220,158302200
2006-07-07,7.925714,8.078571,7.810000,7.914286,6.886227,199840200
2006-07-10,7.957143,8.070000,7.785714,7.857143,6.836508,132336400
2006-07-11,7.872857,7.998571,7.790000,7.950000,6.917304,206255700
2006-07-12,7.881429,7.891428,7.560000,7.565714,6.582935,231832300
